METHOD,URI,ACTION
GET|HEAD,login,"Laravel\Fortify\Http\Controllers\AuthenticatedSessionController@create"
POST,login,"App\Http\Controllers\AuthController@doLogin"
POST,logout,"App\Http\Controllers\AuthController@doLogout"
GET|HEAD,forgot-password,"Laravel\Fortify\Http\Controllers\PasswordResetLinkController@create"
GET|HEAD,reset-password/{token},"Laravel\Fortify\Http\Controllers\NewPasswordController@create"
POST,forgot-password,"Laravel\Fortify\Http\Controllers\PasswordResetLinkController@store"
POST,reset-password,"Laravel\Fortify\Http\Controllers\NewPasswordController@store"
GET|HEAD,register,"Laravel\Fortify\Http\Controllers\RegisteredUserController@create"
POST,register,"App\Http\Controllers\AuthController@store"
PUT,user/profile-information,"Laravel\Fortify\Http\Controllers\ProfileInformationController@update"
PUT,user/password,"Laravel\Fortify\Http\Controllers\PasswordController@update"
GET|HEAD,user/confirm-password,"Laravel\Fortify\Http\Controllers\ConfirmablePasswordController@show"
GET|HEAD,user/confirmed-password-status,"Laravel\Fortify\Http\Controllers\ConfirmedPasswordStatusController@show"
POST,user/confirm-password,"Laravel\Fortify\Http\Controllers\ConfirmablePasswordController@store"
GET|HEAD,two-factor-challenge,"Laravel\Fortify\Http\Controllers\TwoFactorAuthenticatedSessionController@create"
POST,two-factor-challenge,"Laravel\Fortify\Http\Controllers\TwoFactorAuthenticatedSessionController@store"
POST,user/two-factor-authentication,"Laravel\Fortify\Http\Controllers\TwoFactorAuthenticationController@store"
POST,user/confirmed-two-factor-authentication,"Laravel\Fortify\Http\Controllers\ConfirmedTwoFactorAuthenticationController@store"
DELETE,user/two-factor-authentication,"Laravel\Fortify\Http\Controllers\TwoFactorAuthenticationController@destroy"
GET|HEAD,user/two-factor-qr-code,"Laravel\Fortify\Http\Controllers\TwoFactorQrCodeController@show"
GET|HEAD,user/two-factor-secret-key,"Laravel\Fortify\Http\Controllers\TwoFactorSecretKeyController@show"
GET|HEAD,user/two-factor-recovery-codes,"Laravel\Fortify\Http\Controllers\RecoveryCodeController@index"
POST,user/two-factor-recovery-codes,"Laravel\Fortify\Http\Controllers\RecoveryCodeController@store"
GET|HEAD,sanctum/csrf-cookie,"Laravel\Sanctum\Http\Controllers\CsrfCookieController@show"
GET|HEAD,api/user,Closure
GET|HEAD,attendance,"App\Http\Controllers\UserController@index"
POST,attendance,"App\Http\Controllers\UserController@attendance"
GET|HEAD,attendance/list,"App\Http\Controllers\UserController@list"
GET|HEAD,attendance/detail/{id},"App\Http\Controllers\UserController@detail"
GET|HEAD,application/{id},"App\Http\Controllers\UserController@applicationDetail"
GET|HEAD,stamp_correction_request/list,Closure
POST,attendance/{id},"App\Http\Controllers\AmendmentApplicationController"
GET|HEAD,admin/attendance/list,"App\Http\Controllers\AdminController@list"
GET|HEAD,admin/attendance/{id},"App\Http\Controllers\AdminController@detail"
GET|HEAD,admin/staff/list,"App\Http\Controllers\AdminController@staffList"
GET|HEAD,admin/attendance/staff/{id},"App\Http\Controllers\AdminController@staffDetailList"
GET|HEAD,stamp_correction_request/approve/{id},"App\Http\Controllers\AdminController@approvalShow"
POST,stamp_correction_request/approve/{id},"App\Http\Controllers\AdminController@approval"
POST,export,"App\Http\Controllers\AdminController@export"
POST,admin/logout,"App\Http\Controllers\AuthController@adminLogout"
GET|HEAD,admin/login,"App\Http\Controllers\AuthController@adminLogin"
POST,admin/login,"App\Http\Controllers\AuthController@adminDoLogin"
GET|HEAD,email/verify,Closure
GET|HEAD,email/verify/{id}/{hash},"Laravel\Fortify\Http\Controllers\VerifyEmailController"
